id,name,type,worldsfifty,lechef,tripadvisor,thebestchef,restaurant,geschlecht,alter,michelinstern,arbeitsort,herkunftsland,ausbildereins,ausbilderzwei,ausbilderdrei,ausbildervier,ausbilderfuenf,ausbildersechs,ausbildersieben,ausbilderacht
wfb,Worlds 50 Best,4,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
lec,Le Chef,4,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
tad,Tripadvisor,4,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
tbc,The Best Chef,4,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
roem,Ronny Emborg,3,99,99,99,50,0,1,2,2,11,11,2,100,99,99,99,99,99,99
nidico,Nino di Costanzo,1,99,99,99,49,1,1,3,2,5,5,29,21,24,49,99,99,99,99
jobi,Joris Bijdendijk,1,99,99,99,48,0,1,2,1,25,25,99,99,99,99,99,99,99,99
cole,Corey Lee,1,99,99,99,47,3,1,3,3,11,16,33,34,35,36,99,99,99,99
docr,Dominique Crenn,3,99,99,99,46,3,2,4,3,11,15,110,111,99,99,99,99,99,99
bede,Benoit Dewitte,1,99,99,99,45,1,1,99,1,23,23,99,99,99,99,99,99,99,99
chpu,Christian Puglisi,1,99,99,99,44,6,1,2,1,12,5,2,112,99,99,99,99,99,99
vigu,Vincenzo Guarino,1,99,99,99,43,0,1,3,1,5,5,113,114,115,29,116,117,99,99
svel,Sven Elverfeld,1,99,99,99,42,1,1,4,3,1,1,118,119,120,99,99,99,99,99
eshoba,Esben Holmboe Bang,1,35,99,99,41,1,1,2,3,16,11,99,99,99,99,99,99,99,99
erfr,Eric Frechon,3,99,20,18,40,4,1,4,3,9,15,57,58,59,60,61,62,99,99
chha,Christopher Hache,1,99,99,99,39,1,1,2,1,9,15,97,77,99,99,99,99,99,99
ansopi,Anne-Sophie Pic,1,99,30,99,38,1,2,3,3,9,15,40,174,99,99,99,99,99,99
mitr,Michel Troisgros,1,99,1,99,37,3,1,5,3,9,15,95,121,122,123,113,90,99,99
paba,Pascal Barbot,3,99,8,99,36,2,1,3,3,9,15,4,99,99,99,99,99,99,99
embe,Emma Bengtsson,1,99,99,99,35,2,2,4,2,11,17,124,99,99,99,99,99,99,99
gedema,Gert De Mangeleer,1,99,99,99,34,1,1,3,3,23,23,125,99,99,99,99,99,99,99
enat,Eneko Atxa,1,43,99,19,33,2,1,3,3,10,9,92,93,99,99,99,99,99,99
anca,Andreas Caminada,1,47,22,99,32,4,1,3,3,26,8,99,99,99,99,99,99,99,99
syba,Syrco Bakker,1,99,99,99,31,0,1,2,1,25,25,126,127,128,80,99,99,99,99
anluad,Andoni Luis Aduriz,3,9,37,99,30,1,1,3,2,10,9,21,129,130,131,2,132,133,93
yona,Yoshihiro Narisawa,1,22,99,99,29,1,1,4,2,8,7,11,95,113,134,99,99,99,99
mabe,Martin Berasategui,3,99,13,2,28,4,1,4,10,10,9,135,136,137,99,99,99,99,99
daol,Davide Oldani,3,99,99,99,27,1,1,4,1,5,5,29,65,5,138,99,99,99,99
anap,Andrea Aprea,1,99,99,99,26,1,1,3,2,5,5,139,22,99,99,99,99,99,99
piga,Pierre Gagnaire,3,99,5,99,25,7,1,5,3,9,15,94,95,96,97,99,99,99,99
quda,Quique Dacosta,3,99,99,99,24,4,1,3,3,10,9,99,99,99,99,99,99,99,99
grbe,Gregoire Berger,1,99,99,99,23,0,1,2,0,20,19,95,103,104,99,99,99,99,99
noni,Norbert Niederkofler,1,99,99,99,22,0,1,4,3,5,5,140,141,142,51,99,99,99,99
hayo,Hajime Yoneda,1,99,99,99,21,1,1,3,3,8,7,75,16,99,99,99,99,99,99
pego,Peter Goossens,3,99,36,99,20,3,1,4,3,23,23,143,99,99,99,99,99,99,99
dahu,Daniel Humm,1,4,19,99,19,3,1,3,3,11,8,98,169,99,99,99,99,99,99
vima,Virgilio Martínez,1,6,99,99,18,3,1,3,1,7,14,53,99,99,99,99,99,99,99
maal,Massimiliano Alajmo,3,23,28,99,17,2,1,3,3,5,5,88,89,90,91,99,99,99,99
rako,Rasmus Kofoed,3,19,23,99,16,1,1,3,3,12,11,105,181,99,99,99,99,99,99
nibr,Nick Bril,1,99,99,99,15,1,1,2,2,23,23,80,99,99,99,99,99,99,99
alad,Albert Adria,3,32,99,99,14,6,1,3,1,10,9,101,102,99,99,99,99,99,99
alpa,Alain Passard,3,8,14,99,13,1,1,5,3,9,15,86,87,97,99,99,99,99,99
encr,Enrico Crippa,1,16,7,99,12,1,1,3,3,5,5,16,2,29,13,14,15,99,99
grac,Grant Achatz,1,34,41,99,11,6,1,3,3,11,13,192,33,99,99,99,99,99,99
vlmu,Vladimir Mukhin,1,15,99,99,10,1,1,2,0,3,3,144,145,99,99,99,99,99,99
yaal,Yannik Alléno,1,29,2,99,9,6,1,3,3,9,15,106,107,39,99,99,99,99,99
mabo,Massimo Bottura,1,1,17,99,8,2,1,3,3,5,5,5,2,99,99,99,99,99,99
alat,Alex Atala,1,30,99,99,7,2,1,4,0,24,24,99,99,99,99,99,99,99,99
niro,Niko Romito,1,36,46,99,6,2,1,3,3,5,5,0,99,99,99,99,99,99,99
jobo,Jonnie Boer,3,99,25,99,5,2,1,4,3,25,25,146,99,99,99,99,99,99,99
bjfr,Bjoern Frantzen,1,99,32,99,4,1,1,3,3,14,17,44,45,4,99,99,99,99,99
damu,David Munoz,1,99,99,99,3,2,1,2,3,10,9,99,99,99,99,99,99,99,99
rere,Rene Redzepi,3,99,16,99,2,1,1,3,2,12,11,2,83,84,85,82,33,99,99
joro,Joan Roca,1,2,3,3,1,1,1,4,3,10,9,2,108,109,99,99,99,99,99
