from,to
wfb,eshoba
wfb,enat
wfb,anca
wfb,anluad
wfb,yona
wfb,dahu
wfb,vima
wfb,maal
wfb,rako
wfb,alpa
wfb,encr
wfb,grac
wfb,vlmu
wfb,yaal
wfb,mabo
wfb,alat
wfb,niro
wfb,joro
wfb,seya
wfb,aldu
wfb,daba
wfb,papa
wfb,maco
wfb,here
wfb,gaan
wfb,viar
wfb,jova
wfb,enol
wfb,zaha
wfb,orca
wfb,maca
wfb,edxa
wfb,besh
wfb,dasoin
wfb,erri
wfb,rogu
wfb,juro
wfb,jumaar
wfb,ismc
wfb,tira
wfb,jalo
wfb,gaac
wfb,begr
wfb,brgr
wfb,megue
wfb,hebl
wfb,josk
wfb,anro
wfb,dath
wfb,ludaro
wfb,mits
lec,erfr
lec,ansopi
lec,mitr
lec,paba
lec,anca
lec,anluad
lec,mabe
lec,piga
lec,pego
lec,dahu
lec,maal
lec,rako
lec,alpa
lec,encr
lec,grac
lec,yaal
lec,mabo
lec,niro
lec,jobo
lec,bjfr
lec,rere
lec,joro
lec,ardo
lec,emre
lec,seya
lec,aldu
lec,mibr
lec,alco
lec,gigo
lec,arla
lec,daba
lec,erpr
lec,papa
lec,pabo
lec,maco
lec,crba
lec,nasa
lec,diko
lec,rema
lec,gusa
lec,daki
lec,anch
lec,jepi
lec,here
lec,yomu
lec,jowi
lec,thke
lec,jorob
lec,frgio
lec,gepa
tad,erfr
tad,enat
tad,mabe
tad,joro
tad,cemo
tad,saba
tad,raza
tad,jaga
tad,joph
tad,ancan
tad,kigh
tad,cheo
tad,adst
tad,mits
tad,mame
tad,chco
tad,rabl
tad,gakr
tad,rica
tad,onko
tad,sama
tad,vice
tad,lapi
tad,jefe
tad,dabo
tbc,roem
tbc,nidico
tbc,jobi
tbc,cole
tbc,docr
tbc,bede
tbc,chpu
tbc,vigu
tbc,svel
tbc,eshoba
tbc,erfr
tbc,chha
tbc,ansopi
tbc,mitr
tbc,paba
tbc,embe
tbc,gedema
tbc,enat
tbc,anca
tbc,syba
tbc,anluad
tbc,yona
tbc,mabe
tbc,daol
tbc,anap
tbc,piga
tbc,quda
tbc,grbe
tbc,noni
tbc,hayo
tbc,pego
tbc,dahu
tbc,vima
tbc,maal
tbc,rako
tbc,nibr
tbc,alad
tbc,alpa
tbc,encr
tbc,grac
tbc,vlmu
tbc,yaal
tbc,mabo
tbc,alat
tbc,niro
tbc,jobo
tbc,bjfr
tbc,damu
tbc,rere
tbc,joro
roem,fead
roem,rako
nidico,gumar
nidico,jumaar
nidico,elar
nidico,gatr
cole,thke
cole,mapiwh
cole,dabo
cole,gusa
docr,jeto
docr,mafr
chpu,fead
chpu,rere
vigu,frgi
vigu,anja
vigu,daol
vigu,gumar
vigu,pewi
vigu,name
svel,dibi
svel,dokahe
svel,dimue
erfr,rofe
erfr,chcon
erfr,jesa
erfr,emta
erfr,clde
erfr,jeclvr
chha,alse
chha,erbr
ansopi,alpi
ansopi,japi
mitr,pabo
mitr,gari
mitr,fepo
mitr,pame
mitr,frgi
mitr,migu
paba,alpa
embe,maje
gedema,daho
enat,anluad
enat,mabe
syba,jobo
syba,jegekl
syba,gora
syba,sehe
anluad,jumaar
anluad,raro
anluad,hiar
anluad,jelone
anluad,fead
anluad,fear
anluad,pesu
anluad,mabe
yona,jorob
yona,pabo
yona,frgi
yona,ezsa
mabe,anma
mabe,frbr
mabe,diou
daol,gumar
daol,alro
daol,aldu
daol,pihe
anap,elsi
anap,hebl
piga,jeclga
piga,pabo
piga,rade
piga,alse
grbe,pabo
grbe,frro
grbe,feco
noni,alsc
noni,joemue
noni,ecwi
noni,dabou
hayo,bero
hayo,mibr
pego,gale
dahu,dame
dahu,gera
vima,gaac
maal,alchi
maal,mave
maal,migu
maal,rich
rako,roso
rako,roem
nibr,sehe
alad,anes
alad,frto
alpa,mike
alpa,gebo
alpa,alse
encr,mibr
encr,fead
encr,gumar
encr,chwi
encr,giar
encr,anwe
grac,chtr
grac,thke
vlmu,chet
vlmu,miph
yaal,mama
yaal,gabi
yaal,logr
mabo,aldu
mabo,fead
jobo,edme
bjfr,chli
bjfr,nila
bjfr,alpa
rere,fead
rere,pian
rere,japo
rere,lapo
rere,throan
rere,thke
joro,fead
joro,sasa
joro,geblu
ardo,aldu
ardo,migu
emre,mave
emre,yvth
seya,hiko
aldu,alchi
aldu,migu
aldu,rove
gigo,rove
arla,migu
arla,rove
erpr,belo
erpr,piga
erpr,anwe
erpr,rema
pabo,eubr
maco,belo
maco,alpa
maco,aldu
nasa,tesa
diko,ecwi
diko,hewi
gusa,getr
daki,mach
anch,tili
anch,jorob
anch,japo
anch,lapo
jepi,brci
jepi,chcon
jepi,aldu
here,kaob
here,ruob
here,alch
here,anmo
here,jorob
jowi,hawo
thke,beke
jorob,roau
frgio,cljo
gepa,migu
gepa,jepapa
jova,osve
jova,enol
orca,fead
maca,fead
edxa,fead
besh,mali
dasoin,enol
juro,mibr
juro,bead
jalo,hebl
hebl,alpa
saba,mimu
saba,rere
raza,fead
raza,alad
cheo,docr
adst,aapa
rica,gumar
dabo,lagr
rica,jelono
rica,heda
