from,to
elite,frgi
elite,grac
elite,dahu
elite,mabo
elite,enat 
elite,thke
elite,chko
elite,gusa
elite,erri
elite,joro
tripa,frpe
tripa,mabe
tripa,joro
tripa,saba
tripa,raza
tripa,jaga
tripa,igle
tripa,anca
tripa,scde
tripa,cho
world,mabo
world,joro
world,maco
world,dahu
world,gaan
world,vima
world,mits
world,alpa
world,anad
world,viar
leche,ardo
leche,mitr
leche,jobo
leche,yaal
leche,seya
leche,papa
leche,emre
leche,daki
leche,alco
leche,rere
thebes,joro
thebes,rere
thebes,damu
thebes,bjfr
thebes,jobo
thebes,niro
thebes,alat
thebes,mabo
thebes,yaal
thebes,vlmu
thebei,jufr
thebei,anni
thebei,anah
thebei,chti
thebei,dach
thebei,fuma
thebei,huan
thebei,huhu
