id,name
elite,elitetraveler
frgi,franck giovannini
grac,grant achatz
dahu,daniel humm
mabo,massimo bottura
enat,eneko atxa
thke,thomas keller
chko,christopher kostow
gusa,guy savoy
erri,eric ripert
joro,joan roca
tripa,tripadvisor
frpe,franck pelux
mabe,martin berasategui
saba,satwant singh bains
raza,rafael zafra
jaga,james gaag
igle,ignace lecleir
anca,antonino cannavacciuolo
scde,scott denning
cho,chef o
world,worlds 50 best
maco,mauro colagreco
gaan,gaggan anand
vima,virgilio matinez
mits,mitsuharu tsumura
alpa,alain passard
anad,andoni luis aduriz
viar,victor arguinzoniz
leche,le chef
ardo,arnaud donckele
mitr,michel troisgros
jobo,jonnie boer
yaal,yannick alleno
seya,seiji yamamoto
papa,paul pairet
emre,emmanuel renaut
daki,david kinch
alco,alexandre couillon
rere,rene redzepi
thebei,the beijinger
jufr,juan francisco
anni,annie
anah,andrew ahn
chti,chika tillmann
dach,david chang
fuma,fu man yuan
huan,huang
huhu,huixi huang
thebes,the best chef
damu,david muñoz
bjfr,björn frantzén
niro,niko romito
alat,alex atala
vlmu,vladimir mukhin
