id,name,type,worldsfifty,lechef,tripadvisor,thebestchef,restaurant,geschlecht,alter,michelinstern,arbeitsort,herkunftsland,ausbildereins,ausbilderzwei,ausbilderdrei,ausbildervier,ausbilderfuenf,ausbildersechs,ausbildersieben,ausbilderacht
wfb,Worlds 50 Best,4,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
lec,Le Chef,4,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
tad,Tripadvisor,4,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
tbc,The Best Chef,4,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
toba,Tommy Banks,1,1000,1000,1,1000,1,1,1,1,15,19,154,156,1000,1000,1000,1000,1000,1000
rabl,Raymond Blanc,3,1000,1000,2,1000,1,1,5,2,15,15,0,1000,1000,1000,1000,1000,1000,1000
erpr,Eric Pras,1,1000,22,3,1000,1,1,3,3,9,15,3,66,15,43,1000,1000,1000,1000
maha,Marc Haeberlin,3,1000,1000,4,1000,1,1,5,3,9,15,95,143,161,1000,1000,1000,1000,1000
mabe,Martin Berasategui,3,1000,2,5,1000,4,1,4,10,10,9,1000,1000,1000,1000,1000,1000,1000,1000
dabo,Daniel Boloud,3,1000,47,6,1000,1,1,5,3,11,15,97,156,1000,1000,1000,1000,1000,1000
jaga,James Gaag,1,1000,1000,7,1000,0,1,1,0,19,20,1000,1000,1000,1000,1000,1000,1000,1000
cheo,Chef O,1,1000,1000,8,1000,0,1,1000,1000,6,19,185,1000,1000,1000,1000,1000,1000,1000
mits,Mitsuharu Tsumura,1,8,1000,9,1000,1,1,1000,0,7,14,1000,1000,1000,1000,1000,1000,1000,1000
joro,Joan Roca,1,3,10,10,1,1,1,4,3,10,9,2,108,109,1000,1000,1000,1000,1000
cole,Corey Lee,1,1000,1000,1000,50,3,1,3,3,11,16,33,34,35,36,1000,1000,1000,1000
mani,Magnus Nillson,1,1000,1000,1000,49,1,1,2,2,14,17,69,4,1000,1000,1000,1000,1000,1000
arbi,Arnaud Bignon,1,1000,1000,1000,48,0,1,3,2,15,15,5,38,39,1000,1000,1000,1000,1000
ansopi,Anne-Sophie Pic,1,1000,29,1000,47,1,2,3,3,9,15,40,1000,1000,1000,1000,1000,1000,1000
tira,Tim Raue,1,48,1000,1000,46,7,1,3,2,1,1,41,42,1000,1000,1000,1000,1000,1000
nohu,Noriyuki Hamada,1,1000,1000,1000,45,0,1,3,0,8,7,43,1000,1000,1000,1000,1000,1000,1000
bjfr,Björn Frantzen,1,1000,1000,1000,44,1,1,3,2,14,17,44,45,4,1000,1000,1000,1000,1000
hebe,Heinz Beck,1,1000,1000,1000,43,1,1,4,3,5,1,46,47,1000,1000,1000,1000,1000,1000
nidico,Nino di Costanzo,1,1000,1000,1000,42,1,1,3,2,5,5,29,21,24,49,1000,1000,1000,1000
erri,Eric Ripert,1,17,1000,1000,41,1,1,4,3,11,15,11,50,51,52,1000,1000,1000,1000
pegi,Peter Gilmore,1,1000,1000,1000,40,0,1,4,0,18,18,1000,1000,1000,1000,1000,1000,1000,1000
vima,Virgilio Martinez,1,5,1000,1000,39,3,1,3,1,7,14,53,1000,1000,1000,1000,1000,1000,1000
keko,Kei Kobayashi,1,1000,1000,1000,38,1,1,4,1,9,7,54,5,11,55,56,1000,1000,1000
hebl,Heston Bluemthal,3,36,1000,1000,37,4,1,4,3,15,19,1000,1000,1000,1000,1000,1000,1000,1000
erfr,Eric Frechon,3,1000,6,1000,36,1,1,4,3,9,15,57,58,59,60,61,62,1000,1000
sebr,Sebastien Bras,1,1000,1000,1000,35,1,1,3,3,9,15,16,1000,1000,1000,1000,1000,1000,1000
chbau,Chirstian Bau,1,1000,1000,1000,34,1,1,3,3,1,1,64,1000,1000,1000,1000,1000,1000,1000
elaz,Elena Azark,1,30,1000,1000,33,1,2,3,3,10,9,21,65,5,66,1000,1000,1000,1000
chda,Chantel Dartnall,1,1000,1000,1000,32,1,2,2,0,19,20,93,133,69,70,45,71,1000,1000
ancan,Antonio Cannavacciuolo,1,1000,1000,1000,31,0,1,3,2,5,5,72,73,1000,1000,1000,1000,1000,1000
