,
"Im Codebuch definieren Sie, wie und nach welchen Kriterien erfasst werden.",
,
Wert,Kommentar
edgelist,
from,"definiert den Sender in gerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen, nur ein Wort"
to ,"definiert den Empfänger in ungerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen, etc. "
nodelist,
id,erste zwei Buchstaben des Vornamens und des Nachnamens des Kochs
name,Name des Kochs
restaurant,Restaurant auf der Liste
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
relationship,weight:
1=ja,1=kennen sich
2=nein,2=kennen sich gut
,3=Freunde forever
