from,to,weight
wfb,eshoba,1
wfb,enat,1
wfb,anca,1
wfb,anluad,1
wfb,yona,1
wfb,dahu,1
wfb,vima,1
wfb,maal,1
wfb,rako,1
wfb,alpa,1
wfb,encr,1
wfb,grac,1
wfb,vlmu,1
wfb,yaal,1
wfb,mabo,1
wfb,alat,1
wfb,niro,1
wfb,joro,1
wfb,seya,1
wfb,aldu,1
wfb,daba,1
wfb,papa,1
wfb,maco,1
wfb,here,1
wfb,gaan,1
wfb,viar,1
wfb,jova,1
wfb,enol,1
wfb,zaha,1
wfb,orca,1
wfb,maca,1
wfb,edxa,1
wfb,besh,1
wfb,dasoin,1
wfb,erri,1
wfb,rogu,1
wfb,juro,1
wfb,jumaar,1
wfb,ismc,1
wfb,tira,1
wfb,jalo,1
wfb,gaac,1
wfb,begr,1
wfb,brgr,1
wfb,megue,1
wfb,hebl,1
wfb,josk,1
wfb,anro,1
wfb,dath,1
wfb,ludaro,1
wfb,mits,1
lec,erfr,1
lec,ansopi,1
lec,mitr,1
lec,paba,1
lec,anca,1
lec,anluad,1
lec,mabe,1
lec,piga,1
lec,pego,1
lec,dahu,1
lec,maal,1
lec,rako,1
lec,alpa,1
lec,encr,1
lec,grac,1
lec,yaal,1
lec,mabo,1
lec,niro,1
lec,jobo,1
lec,bjfr,1
lec,rere,1
lec,joro,1
lec,ardo,1
lec,emre,1
lec,seya,1
lec,aldu,1
lec,mibr,1
lec,alco,1
lec,gigo,1
lec,arla,1
lec,daba,1
lec,erpr,1
lec,papa,1
lec,pabo,1
lec,maco,1
lec,crba,1
lec,nasa,1
lec,diko,1
lec,rema,1
lec,gusa,1
lec,daki,1
lec,anch,1
lec,jepi,1
lec,here,1
lec,yomu,1
lec,jowi,1
lec,thke,1
lec,jorob,1
lec,frgio,1
lec,gepa,1
tad,erfr,1
tad,enat,1
tad,mabe,1
tad,joro,1
tad,cemo,1
tad,saba,1
tad,raza,1
tad,jaga,1
tad,joph,1
tad,ancan,1
tad,kigh,1
tad,cheo,1
tad,adst,1
tad,mits,1
tad,mame,1
tad,chco,1
tad,rabl,1
tad,gakr,1
tad,rica,1
tad,onko,1
tad,sama,1
tad,vice,1
tad,lapi,1
tad,jefe,1
tad,dabo,1
tbc,roem,1
tbc,nidico,1
tbc,jobi,1
tbc,cole,1
tbc,docr,1
tbc,bede,1
tbc,chpu,1
tbc,vigu,1
tbc,svel,1
tbc,eshoba,1
tbc,erfr,1
tbc,chha,1
tbc,ansopi,1
tbc,mitr,1
tbc,paba,1
tbc,embe,1
tbc,gedema,1
tbc,enat,1
tbc,anca,1
tbc,syba,1
tbc,anluad,1
tbc,yona,1
tbc,mabe,1
tbc,daol,1
tbc,anap,1
tbc,piga,1
tbc,quda,1
tbc,grbe,1
tbc,noni,1
tbc,hayo,1
tbc,pego,1
tbc,dahu,1
tbc,vima,1
tbc,maal,1
tbc,rako,1
tbc,nibr,1
tbc,alad,1
tbc,alpa,1
tbc,encr,1
tbc,grac,1
tbc,vlmu,1
tbc,yaal,1
tbc,mabo,1
tbc,alat,1
tbc,niro,1
tbc,jobo,1
tbc,bjfr,1
tbc,damu,1
tbc,rere,1
tbc,joro,1
fead,roem,2
rako,roem,2
gumar,nidico,2
jumaar,nidico,2
elar,nidico,2
gatr,nidico,2
thke,cole,2
mapiwh,cole,2
dabo,cole,2
gusa,cole,2
jeto,docr,2
mafr,docr,2
fead,chpu,2
rere,chpu,2
frgi,vigu,2
anja,vigu,2
daol,vigu,2
gumar,vigu,2
pewi,vigu,2
name,vigu,2
dibi,svel,2
dokahe,svel,2
dimue,svel,2
rofe,erfr,2
chcon,erfr,2
jesa,erfr,2
emta,erfr,2
clde,erfr,2
jeclvr,erfr,2
alse,chha,2
erbr,chha,2
alpi,ansopi,2
japi,ansopi,2
pabo,mitr,2
gari,mitr,2
fepo,mitr,2
pame,mitr,2
frgi,mitr,2
migu,mitr,2
alpa,paba,2
maje,embe,2
daho,gedema,2
anluad,enat,2
mabe,enat,2
jobo,syba,2
jegekl,syba,2
gora,syba,2
sehe,syba,2
jumaar,anluad,2
raro,anluad,2
hiar,anluad,2
jelone,anluad,2
fead,anluad,2
fear,anluad,2
pesu,anluad,2
mabe,anluad,2
jorob,yona,2
pabo,yona,2
frgi,yona,2
ezsa,yona,2
anma,mabe,2
frbr,mabe,2
diou,mabe,2
gumar,daol,2
alro,daol,2
aldu,daol,2
pihe,daol,2
elsi,anap,2
hebl,anap,2
jeclga,piga,2
pabo,piga,2
rade,piga,2
alse,piga,2
