from,to,weight
tbc,cole,1
tbc,mani,1
tbc,arbi,1
tbc,ansopi,1
tbc,tira,1
tbc,nohu,1
tbc,bjfr,1
tbc,hebe,1
tbc,nidico,1
tbc,erri,1
tbc,pegi,1
tbc,vima,1
tbc,keko,1
tbc,hebl,1
tbc,erfr,1
tbc,sebr,1
tbc,chbau,1
tbc,elar,1
tbc,chda,1
tbc,anca,1
tbc,quda,1
tbc,thke,1
tbc,maco,1
tbc,hayo,1
tbc,dabi,1
tbc,eshoba,1
tbc,atta,1
tbc,stbu,1
tbc,rere,1
tbc,alpa,1
tbc,maul,1
tbc,maal,1
tbc,enat,1
tbc,piga,1
tbc,dasc,1
tbc,dahu,1
tbc,ancan,1
tbc,anch,1
tbc,grac,1
tbc,roem,1
tbc,alad,1
tbc,grbe,1
tbc,mabo,1
tbc,rako,1
tbc,yaal,1
tbc,encr,1
tbc,nibr,1
tbc,alat,1
tbc,damu,1
tbc,mibr,1
tbc,joro,1
wfb,papa,1
wfb,pego,1
wfb,daba,1
wfb,aldu,1
wfb,paba,1
wfb,jobo,1
wfb,seya,1
wfb,alat,1
wfb,encr,1
wfb,yaal,1
wfb,rako,1
wfb,mabo,1
wfb,alad,1
wfb,grac,1
wfb,anch,1
wfb,dahu,1
wfb,enat,1
wfb,maal,1
wfb,alpa,1
wfb,maco,1
wfb,elar,1
wfb,hebl,1
wfb,vima,1
wfb,erri,1
wfb,tira,1
wfb,joro,1
wfb,mits,1
wfb,riek,1
wfb,joth,1
wfb,dahun,1
wfb,jowi,1
wfb,gema,1
wfb,anluad,1
wfb,anro,1
wfb,begr,1
wfb,besh,1
wfb,dasoin,1
wfb,dath,1
wfb,enol,1
wfb,gaac,1
wfb,gaan,1
wfb,yona,1
wfb,here,1
wfb,ismc,1
wfb,josk,1
wfb,jova,1
wfb,jumaar,1
wfb,niro,1
wfb,rogu,1
wfb,viar,1
wfb,vlmu,1
wfb,zaha,1
wfb,brgr,1
lec,erpr,1
lec,mabe,1
lec,dabo,1
lec,joro,1
lec,ansopi,1
lec,erfr,1
lec,quda,1
lec,thke,1
lec,maco,1
lec,rere,1
lec,alpa,1
lec,maal,1
lec,piga,1
lec,dahu,1
lec,anch,1
lec,grac,1
lec,mabo,1
lec,rako,1
lec,yaal,1
lec,encr,1
lec,mibr,1
lec,seya,1
lec,jobo,1
lec,emre,1
lec,paba,1
lec,aldu,1
lec,pabo,1
lec,gigo,1
lec,mitr,1
lec,ardo,1
lec,arla,1
lec,hawo,1
lec,rema,1
lec,yomu,1
lec,jefr,1
lec,bepa,1
lec,jabo,1
lec,anca,1
lec,chba,1
lec,migu,1
lec,chlesq,1
lec,anluad,1
lec,alco,1
lec,pekn,1
lec,svel,1
lec,daba,1
lec,pego,1
lec,papa,1
lec,alga,1
lec,jion,1
tad,maha,1
tad,mabe,1
tad,dabo,1
tad,jaga,1
tad,cheo,1
tad,mits,1
tad,joro,1
tad,toba,1
tad,rabl,1
tad,erpr,1
rabl,toba,2
lagr,toba,2
belo,erpr,2
piga,erpr,2
anwe,erpr,2
rema,erpr,2
pabo,maha,2
gale,maha,2
getr,maha,2
alse,dabo,2
