id,name,type,worldsfifty,lechef,tripadvisor,thebestchef,restaurant,geschlecht,alter,michelinstern,arbeitsort,herkunftsland,ausbildereins,ausbilderzwei,ausbilderdrei,ausbildervier,ausbilderfuenf,ausbildersechs,ausbildersieben,ausbilderacht
wfb,Worlds 50 Best,4,99,99,99,99,99,99,99,0,99,99,99,99,99,99,99,99,99,99
lec,Le Chef,4,99,99,99,99,99,99,99,0,99,99,99,99,99,99,99,99,99,99
tad,Tripadvisor,4,99,99,99,99,99,99,99,0,99,99,99,99,99,99,99,99,99,99
tbc,The Best Chef,4,99,99,99,99,99,99,99,0,99,99,99,99,99,99,99,99,99,99
toba,Tommy Banks,1,99,99,1,99,1,1,1,1,15,19,154,156,99,99,99,99,99,99
rabl,Raymond Blanc,3,99,99,2,99,1,1,5,2,15,15,0,99,99,99,99,99,99,99
erpr,Eric Pras,1,99,22,3,99,1,1,3,3,9,15,3,66,15,43,99,99,99,99
maha,Marc Haeberlin,3,99,99,4,99,1,1,5,3,9,15,95,143,161,99,99,99,99,99
mabe,Martin Berasategui,3,99,2,5,99,4,1,4,10,10,9,99,99,99,99,99,99,99,99
dabo,Daniel Boloud,3,99,47,6,99,1,1,5,3,11,15,97,156,99,99,99,99,99,99
jaga,James Gaag,1,99,99,7,99,0,1,1,0,19,20,99,99,99,99,99,99,99,99
cheo,Chef O,1,99,99,8,99,0,1,99,99,6,19,185,99,99,99,99,99,99,99
mits,Mitsuharu Tsumura,1,8,99,9,99,1,1,99,0,7,14,99,99,99,99,99,99,99,99
joro,Joan Roca,1,3,10,10,1,1,1,4,3,10,9,2,108,109,99,99,99,99,99
cole,Corey Lee,1,99,99,99,50,3,1,3,3,11,16,33,34,35,36,99,99,99,99
mani,Magnus Nillson,1,99,99,99,49,1,1,2,2,14,17,69,4,99,99,99,99,99,99
arbi,Arnaud Bignon,1,99,99,99,48,0,1,3,2,15,15,5,38,39,99,99,99,99,99
ansopi,Anne-Sophie Pic,1,99,29,99,47,1,2,3,3,9,15,40,99,99,99,99,99,99,99
